央视高清,#genre#
浙江音乐调频,rtsp://115.233.41.137/PLTV/88888913/224/3221228228/10000100000000060000000003102672_0.smil
浙江交通之声,rtsp://115.233.41.137/PLTV/88888913/224/3221228265/10000100000000060000000003102675_0.smil
浙江旅游之声,rtsp://115.233.41.137/PLTV/88888913/224/3221228327/10000100000000060000000003102677_0.smil
浙江城市之声,rtsp://115.233.41.137/PLTV/88888913/224/3221228291/10000100000000060000000003102680_0.smil
浙江民生资讯广播,rtsp://115.233.41.137/PLTV/88888913/224/3221228233/10000100000000060000000003102678_0.smil

其他,#genre#
东方财经,rtsp://115.233.41.137/PLTV/88888913/224/3221229471/139134633.smil
江苏国际,rtsp://115.233.41.137/PLTV/88888913/224/3221229494/150343750.smil
高清导视,rtsp://115.233.41.137/PLTV/88888913/224/3221228038/10000100000000060000000001122729_0.smil
导视频道,rtsp://115.233.41.137/PLTV/88888913/224/3221228087/10000100000000060000000001432912_0.smil
直播室4,rtsp://115.233.41.137/PLTV/88888913/224/3221229007/10000100000000060000000004308260_0.smil
直播室5,rtsp://115.233.41.137/PLTV/88888913/224/3221229011/10000100000000060000000004308262_0.smil
直播室6,rtsp://115.233.41.137/PLTV/88888913/224/3221229015/10000100000000060000000004308263_0.smil
央广购物,rtsp://115.233.41.137/PLTV/88888913/224/3221229017/10000100000000060000000004414507_0.smil
珠峰直播2,rtsp://115.233.41.137/PLTV/88888913/224/3221229068/10000100000000060000000005029495_0.smil
4K测试1,rtsp://115.233.41.137/PLTV/88888913/224/3221229167/10000100000000060000000005029497_0.smil
信号测试2,rtsp://115.233.41.137/PLTV/88888913/224/3221229177/49384090.smil
信号测试3,rtsp://115.233.41.137/PLTV/88888913/224/3221229181/50701500.smil
好易购1高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229213/53485722.smil
熊猫宝宝幼儿园,rtsp://115.233.41.137/PLTV/88888913/224/3221229232/67227295.smil
大熊猫的一天,rtsp://115.233.41.137/PLTV/88888913/224/3221229269/67227366.smil
爱看熊猫,rtsp://115.233.41.137/PLTV/88888913/224/3221229303/67227411.smil
直播室3,rtsp://115.233.41.137/PLTV/88888913/224/3221229469/148085439.smil
直播室2,rtsp://115.233.41.137/PLTV/88888913/224/3221229488/148085486.smil
直播室7,rtsp://115.233.41.137/PLTV/88888913/224/3221229472/148085491.smil
直播室1,rtsp://115.233.41.137/PLTV/88888913/224/3221229466/148085530.smil
好享购,rtsp://115.233.41.137/PLTV/88888913/224/3221229475/148775850.smil
